issue,category,description,causes,debug,solution
CrashLoopBackOff,Pod Crash,"Pod is repeatedly crashing and Kubernetes is restarting it in a loop.","Application error; Wrong configuration; Port conflict; Dependency not available","kubectl describe pod <pod-name>; kubectl logs <pod-name>; kubectl logs <pod-name> --previous","Fix application error; Check environment variables; Verify container ports; Ensure dependencies are reachable"
ImagePullBackOff,Image Issue,"Kubernetes is unable to pull the container image from the registry.","Incorrect image name; Authentication failure; Image not available","kubectl describe pod <pod-name>","Verify image name and tag; Check imagePullSecrets; Ensure image exists"
ErrImagePull,Image Issue,"Error occurred while pulling container image.","Invalid image name; Network issue; Registry not accessible","kubectl describe pod <pod-name>","Fix image name; Check network connectivity; Validate registry access"
OOMKilled,Memory Issue,"Container is killed because it exceeded memory limits.","Memory limit too low; Memory leak","kubectl describe pod <pod-name>; kubectl top pod","Increase memory limits; Optimize memory usage"
Pending,Scheduling Issue,"Pod is not scheduled on any node.","Insufficient resources; Node selector mismatch; Taints issue","kubectl describe pod <pod-name>","Add resources; Fix node selectors; Update tolerations"
NodeNotReady,Node Issue,"Node is not ready to accept pods.","Kubelet stopped; Network issue; Resource exhaustion","kubectl get nodes; kubectl describe node <node-name>","Restart kubelet; Check network; Free resources"
503 Service Unavailable,Service Issue,"Service is not able to handle the request.","Backend pods down; Service misconfiguration; Ingress issue","kubectl get pods; kubectl get svc; kubectl describe ingress","Restart pods; Fix service selectors; Verify ingress rules"
502 Bad Gateway,Service Issue,"Gateway received invalid response from backend.","Backend down; Wrong upstream config","Check ingress logs; kubectl get pods","Restart backend; Fix upstream configuration"
ContainerCreating,Startup Issue,"Pod is stuck while being created.","Volume mount issues; Slow image pull; Network problems","kubectl describe pod <pod-name>","Check volumes; Verify network; Ensure image access"
ConfigMapError,Configuration Issue,"Application failed due to missing or incorrect ConfigMap.","ConfigMap not found; Wrong key reference","kubectl get configmap; kubectl describe pod <pod-name>","Create ConfigMap; Fix key references"